Date,MSFT,AAPL,AMZN,GOOG,SP500
2020-05-21 00:00:00-04:00,0.14915716894540773,-0.09150704115803952,0.5957324396225914,-0.10700919402144388,-0.20324478008284327
2020-05-22 00:00:00-04:00,0.14984357167306994,-0.08306095735719313,0.5863331435702498,-0.09750667575023728,-0.1960148220350813
2020-05-26 00:00:00-04:00,0.13319301507145476,-0.09200358803284074,0.572014846703862,-0.08927638634146859,-0.15817695638773718
2020-05-27 00:00:00-04:00,0.1352530371707193,-0.08629032331391888,0.5610806629740264,-0.08825380813226408,-0.11196331685483582
2020-05-28 00:00:00-04:00,0.13173393449067708,-0.0857105873717656,0.5522246578120791,-0.08963792311063282,-0.11863066788079911
2020-05-29 00:00:00-04:00,0.14761235585002877,-0.08699387253360857,0.5915666276252685,-0.0744366339448475,-0.10344129566478755
2020-06-01 00:00:00-04:00,0.14400724934995932,-0.07080564228100217,0.6188972867893802,-0.07082012455814467,-0.09154414103022364
2020-06-02 00:00:00-04:00,0.1618596889885483,-0.06463671365039454,0.6202032213580441,-0.06159218394899279,-0.06540555105588854
2020-06-03 00:00:00-04:00,0.1657221286851346,-0.057266912666502655,0.6259133758944073,-0.06513372202672156,-0.021598251953926326
2020-06-04 00:00:00-04:00,0.14477979155036177,-0.0688598202390505,0.6089449540662811,-0.09531195727890031,-0.03255789778091792
2020-06-05 00:00:00-04:00,0.18151427491903308,-0.030851990317612314,0.6302985406796056,-0.06262713052135292,0.05243111620689987
2020-06-08 00:00:00-04:00,0.19147037013524687,-0.022737110268587483,0.6694403583468291,-0.052376611702996526,0.0924982994609644
2020-06-09 00:00:00-04:00,0.20382982446726933,0.02086004171777061,0.7426524059478129,-0.04046740024421666,0.06623482700575084
2020-06-10 00:00:00-04:00,0.26425279849221434,0.057501268033548214,0.7870658180350574,-0.02838350944117744,0.048482693328779254
2020-06-11 00:00:00-04:00,0.17353233363476958,-0.012634748955702194,0.7017566387340367,-0.10571222843269472,-0.14741518952230045
2020-06-12 00:00:00-04:00,0.1861489855105959,-0.0006282248227740596,0.6894210990636233,-0.09406503599030389,-0.10656666414754624
2020-06-15 00:00:00-04:00,0.19644841774335378,0.01671960669060447,0.7157889624034994,-0.08574721662689544,-0.08023019521165628
2020-06-16 00:00:00-04:00,0.23618706609360768,0.05435470301477786,0.7563893015588041,-0.057227483732630084,-0.019650237858105286
2020-06-17 00:00:00-04:00,0.24193724894397808,0.05232582128193971,0.7808980481998506,-0.046752431552371694,-0.03137036966845044
2020-06-18 00:00:00-04:00,0.25978968858256707,0.052905815977024095,0.7932908988771759,-0.06565756977698953,-0.029442957366827272
2020-06-19 00:00:00-04:00,0.249747725199039,0.044583545453714124,0.813338405462428,-0.07094494988476137,-0.04777855420293366
2020-06-22 00:00:00-04:00,0.2962667031020086,0.08246730334468479,0.8503351332338968,-0.04582956137845247,-0.0268176274938589
2020-06-23 00:00:00-04:00,0.3077676114136013,0.11418187385211673,0.8985619091718978,-0.030179395771373237,-0.012826465802121123
2020-06-24 00:00:00-04:00,0.27283554564225176,0.08739395915303047,0.8699538254831698,-0.0706330768507297,-0.09716970256193401
2020-06-25 00:00:00-04:00,0.2942924135173453,0.10718454771255854,0.8891911231636037,-0.058960957399517525,-0.06234275098513818
2020-06-26 00:00:00-04:00,0.25987555674988133,0.06077229321218276,0.8303638473786491,-0.1605069314497357,-0.14017480340587044
2020-06-29 00:00:00-04:00,0.2779850582795612,0.09451548669952173,0.8184574129630316,-0.11677354102652943,-0.09413818669718783
